16:21:16,['26.778149', '80.882494', 1, 5]
16:21:17,['26.778149', '80.882494', 1, 5]
16:21:18,['26.778149', '80.882494', 1, 5]
16:21:19,['26.778148', '80.882494', 1, 5]
16:21:20,['26.778148', '80.882494', 1, 5]
16:21:21,['26.778150', '80.882495', 1, 5]
16:21:22,['26.778152', '80.882498', 1, 5]
16:21:23,['26.778153', '80.882500', 1, 5]
16:21:24,['26.778155', '80.882501', 1, 5]
16:21:25,['26.778154', '80.882502', 1, 5]
16:21:27,['26.778153', '80.882502', 1, 5]
16:21:28,['26.778153', '80.882504', 1, 5]
16:21:30,['26.778153', '80.882504', 1, 5]
16:21:31,['26.778156', '80.882505', 1, 5]
16:21:32,['26.778153', '80.882504', 1, 5]
16:21:33,['26.778151', '80.882502', 1, 5]
16:21:34,['26.778151', '80.882502', 1, 5]
16:21:35,['26.778151', '80.882502', 1, 5]
16:21:36,['26.778151', '80.882502', 1, 5]
16:21:37,['26.778151', '80.882502', 1, 5]
16:21:39,['26.778151', '80.882502', 1, 5]
16:21:40,['26.778150', '80.882500', 1, 5]
16:21:41,['26.778150', '80.882500', 1, 5]
16:21:42,['26.778150', '80.882498', 1, 5]
16:21:43,['26.778150', '80.882498', 1, 5]
16:21:44,['26.778150', '80.882498', 1, 5]
