17:30:02,[]
17:30:03,['26.778176', '80.882506', 1, 10]
17:30:04,['26.778176', '80.882506', 1, 10]
17:30:05,['26.778176', '80.882505', 1, 10]
17:30:07,['26.778176', '80.882505', 1, 10]
17:30:08,['26.778177', '80.882504', 1, 10]
17:30:09,['26.778177', '80.882503', 1, 10]
17:30:10,['26.778177', '80.882503', 1, 10]
17:30:11,['26.778177', '80.882503', 1, 10]
17:30:12,['26.778177', '80.882503', 1, 10]
17:30:13,['26.778177', '80.882503', 1, 10]
17:30:14,['26.778177', '80.882503', 1, 10]
17:30:15,['26.778177', '80.882503', 1, 10]
17:30:16,['26.778177', '80.882503', 1, 10]
17:30:17,['26.778176', '80.882502', 1, 10]
17:30:18,['26.778176', '80.882502', 1, 10]
17:30:20,['26.778176', '80.882502', 1, 10]
17:30:21,['26.778176', '80.882502', 1, 10]
17:30:22,['26.778176', '80.882502', 1, 10]
17:30:23,['26.778176', '80.882502', 1, 10]
17:30:24,['26.778177', '80.882502', 1, 10]
17:30:25,['26.778177', '80.882502', 1, 10]
17:30:26,['26.778177', '80.882501', 1, 10]
17:30:27,['26.778177', '80.882501', 1, 9]
17:30:28,['26.778177', '80.882501', 1, 9]
17:30:29,['26.778177', '80.882501', 1, 9]
17:30:30,['26.778176', '80.882500', 1, 9]
17:30:31,['26.778176', '80.882500', 1, 9]
17:30:32,['26.778177', '80.882500', 1, 10]
17:30:34,['26.778177', '80.882500', 1, 10]
17:30:35,['26.778177', '80.882500', 1, 10]
17:30:36,['26.778177', '80.882500', 1, 10]
17:30:37,['26.778177', '80.882500', 1, 10]
17:30:38,['26.778177', '80.882500', 1, 10]
17:30:39,['26.778177', '80.882500', 1, 10]
17:30:40,['26.778177', '80.882499', 1, 10]
17:30:41,['26.778177', '80.882499', 1, 10]
17:30:42,['26.778177', '80.882499', 1, 10]
17:30:43,['26.778177', '80.882498', 1, 10]
17:30:44,['26.778177', '80.882498', 1, 10]
17:30:45,['26.778177', '80.882498', 1, 10]
17:30:46,['26.778177', '80.882497', 1, 10]
17:30:48,['26.778178', '80.882497', 1, 10]
17:30:49,['26.778178', '80.882497', 1, 10]
17:30:50,['26.778178', '80.882497', 1, 10]
17:30:51,['26.778178', '80.882496', 1, 10]
17:30:52,['26.778178', '80.882496', 1, 10]
17:30:53,['26.778178', '80.882496', 1, 10]
17:30:54,['26.778178', '80.882496', 1, 10]
17:30:55,['26.778178', '80.882496', 1, 10]
17:30:56,['26.778178', '80.882496', 1, 10]
17:30:57,['26.778178', '80.882495', 1, 10]
17:30:58,['26.778178', '80.882495', 1, 10]
17:31:00,['26.778178', '80.882494', 1, 10]
17:31:01,['26.778178', '80.882494', 1, 10]
17:31:02,['26.778178', '80.882494', 1, 10]
