17:40:47,[]
17:40:48,[0, 0, 1, '0']
17:40:49,[0, 0, 1, '0']
17:40:50,[0, 0, 1, '0']
17:40:51,[0, 0, 1, '0']
17:40:52,['26.778137', '80.882487', 1, 9]
17:40:53,['26.778137', '80.882488', 1, 9]
17:40:54,['26.778137', '80.882488', 1, 9]
17:40:56,['26.778138', '80.882488', 1, 9]
17:40:57,['26.778138', '80.882489', 1, 9]
17:40:58,['26.778138', '80.882490', 1, 9]
17:40:59,['26.778138', '80.882492', 1, 9]
17:41:00,['26.778138', '80.882492', 1, 9]
17:41:01,['26.778138', '80.882492', 1, 9]
17:41:02,['26.778138', '80.882492', 1, 9]
17:41:03,['26.778138', '80.882493', 1, 9]
17:41:04,['26.778138', '80.882493', 1, 9]
17:41:05,['26.778138', '80.882493', 1, 9]
17:41:06,['26.778139', '80.882494', 1, 9]
17:41:07,['26.778139', '80.882494', 1, 9]
17:41:08,['26.778139', '80.882495', 1, 9]
17:41:09,['26.778139', '80.882497', 1, 9]
17:41:11,['26.778139', '80.882501', 1, 9]
17:41:12,['26.778139', '80.882507', 1, 9]
17:41:13,['26.778139', '80.882508', 1, 9]
17:41:14,['26.778140', '80.882510', 1, 9]
17:41:15,['26.778140', '80.882510', 1, 9]
17:41:16,['26.778140', '80.882512', 1, 9]
17:41:17,['26.778140', '80.882512', 1, 9]
17:41:18,['26.778140', '80.882513', 1, 9]
17:41:19,['26.778140', '80.882513', 1, 9]
17:41:20,['26.778140', '80.882514', 1, 9]
17:41:21,['26.778140', '80.882514', 1, 9]
17:41:22,['26.778141', '80.882515', 1, 9]
17:41:23,['26.778141', '80.882516', 1, 9]
17:41:25,['26.778141', '80.882516', 1, 9]
17:41:26,['26.778141', '80.882518', 1, 9]
17:41:27,['26.778141', '80.882520', 1, 9]
17:41:28,['26.778141', '80.882522', 1, 9]
17:41:29,['26.778141', '80.882526', 1, 9]
17:41:30,['26.778141', '80.882526', 1, 9]
17:41:31,['26.778141', '80.882527', 1, 9]
17:41:32,['26.778141', '80.882529', 1, 9]
17:41:33,['26.778141', '80.882532', 1, 9]
17:41:34,['26.778141', '80.882533', 1, 9]
17:41:35,['26.778141', '80.882533', 1, 9]
17:41:36,['26.778142', '80.882535', 1, 9]
17:41:38,['26.778142', '80.882539', 1, 9]
17:41:39,['26.778142', '80.882542', 1, 9]
17:41:40,['26.778141', '80.882546', 1, 9]
17:41:41,['26.778141', '80.882548', 1, 9]
17:41:42,['26.778142', '80.882549', 1, 9]
17:41:43,['26.778142', '80.882551', 1, 9]
17:41:44,['26.778142', '80.882551', 1, 9]
17:41:45,['26.778142', '80.882551', 1, 9]
17:41:46,['26.778142', '80.882552', 1, 9]
17:41:47,['26.778143', '80.882555', 1, 9]
17:41:48,['26.778143', '80.882555', 1, 9]
17:41:49,['26.778143', '80.882555', 1, 9]
17:41:50,['26.778143', '80.882555', 1, 9]
17:41:51,['26.778143', '80.882555', 1, 9]
17:41:53,['26.778143', '80.882555', 1, 9]
17:41:54,['26.778143', '80.882556', 1, 9]
17:41:55,['26.778143', '80.882556', 1, 9]
17:41:56,['26.778143', '80.882557', 1, 9]
17:41:57,['26.778143', '80.882557', 1, 9]
17:41:58,['26.778143', '80.882559', 1, 9]
17:41:59,['26.778143', '80.882559', 1, 9]
17:42:00,['26.778144', '80.882561', 1, 9]
17:42:01,['26.778144', '80.882562', 1, 9]
17:42:02,['26.778144', '80.882562', 1, 9]
17:42:03,['26.778144', '80.882561', 1, 9]
17:42:05,['26.778145', '80.882560', 1, 9]
17:42:06,['26.778145', '80.882560', 1, 9]
17:42:07,['26.778146', '80.882559', 1, 9]
17:42:08,['26.778146', '80.882559', 1, 9]
17:42:09,['26.778146', '80.882559', 1, 9]
17:42:10,['26.778146', '80.882560', 1, 9]
17:42:11,['26.778146', '80.882561', 1, 9]
17:42:12,['26.778146', '80.882561', 1, 9]
17:42:13,['26.778146', '80.882562', 1, 9]
17:42:14,['26.778146', '80.882564', 1, 9]
17:42:15,['26.778146', '80.882567', 1, 9]
17:42:16,['26.778146', '80.882567', 1, 9]
17:42:17,['26.778146', '80.882568', 1, 9]
17:42:18,['26.778147', '80.882569', 1, 9]
17:42:20,['26.778147', '80.882569', 1, 9]
17:42:21,['26.778147', '80.882569', 1, 9]
17:42:22,['26.778148', '80.882568', 1, 9]
17:42:23,['26.778148', '80.882567', 1, 9]
17:42:24,['26.778149', '80.882566', 1, 9]
17:42:25,['26.778150', '80.882564', 1, 9]
17:42:26,['26.778150', '80.882565', 1, 9]
17:42:27,['26.778150', '80.882566', 1, 9]
17:42:28,['26.778150', '80.882566', 1, 9]
17:42:29,['26.778150', '80.882568', 1, 9]
17:42:30,['26.778150', '80.882568', 1, 9]
