18:00:39,[]
18:00:40,[]
18:00:41,[0, 0, 1, '0']
18:00:42,['26.778140', '80.882555', 1, 10]
18:00:43,['26.778140', '80.882555', 1, 10]
18:00:45,['26.778141', '80.882553', 1, 10]
18:00:46,['26.778141', '80.882553', 1, 10]
18:00:47,['26.778142', '80.882548', 1, 10]
18:00:48,['26.778143', '80.882544', 1, 10]
18:00:49,['26.778144', '80.882540', 1, 10]
18:00:50,['26.778145', '80.882539', 1, 10]
18:00:51,['26.778145', '80.882538', 1, 10]
18:00:53,['26.778146', '80.882537', 1, 10]
18:00:54,['26.778146', '80.882537', 1, 10]
18:00:55,['26.778146', '80.882537', 1, 10]
18:00:56,['26.778146', '80.882536', 1, 10]
18:00:57,['26.778147', '80.882534', 1, 10]
18:00:58,['26.778148', '80.882533', 1, 10]
18:00:59,['26.778148', '80.882533', 1, 10]
18:01:00,['26.778148', '80.882532', 1, 10]
18:01:02,['26.778149', '80.882531', 1, 10]
18:01:03,['26.778149', '80.882530', 1, 10]
18:01:04,['26.778149', '80.882529', 1, 9]
18:01:05,['26.778149', '80.882528', 1, 9]
18:01:06,['26.778150', '80.882527', 1, 9]
18:01:07,['26.778150', '80.882527', 1, 9]
18:01:08,['26.778150', '80.882525', 1, 9]
18:01:09,['26.778150', '80.882525', 1, 9]
18:01:10,['26.778150', '80.882525', 1, 9]
18:01:11,['26.778151', '80.882524', 1, 9]
18:01:12,['26.778151', '80.882524', 1, 9]
18:01:13,['26.778151', '80.882524', 1, 9]
18:01:14,['26.778151', '80.882523', 1, 9]
